Reference, Value, Footprint, Datasheet, Category, DK_Datasheet_Link, DK_Detail_Page, Description, Digi-Key_PN, Family, MPN, Manufacturer, Status
"P1","CONN_02X10","fdsp_pinheader:Pin_Header_Straight_2x10",""
"P4","CONN_02X10","fdsp_pinheader:Pin_Header_Straight_2x10",""
"P2","CONN_02X05","Connectors_IDC:IDC-Header_2x05_Pitch2.54mm_Straight",""
"R1","49R9","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R2","470R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"D1","LED","LEDs:LED-3MM",""
"D2","LED","LEDs:LED-3MM",""
"D3","LED","LEDs:LED-3MM",""
"R5","470R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R6","470R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R7","470R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"Q1","Q_NMOS_DGS","TO_SOT_Packages_THT:TO-92_Inline_Narrow_Oval",""
"R3","10k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"Q2","Q_NMOS_DGS","TO_SOT_Packages_THT:TO-92_Inline_Narrow_Oval",""
"R4","10k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"C1","100u","Capacitors_Elko_ThroughHole:Elko_vert_11.2x6.3mm_RM2.5_CopperClear",""
"R9","470R","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"D4","LED","LEDs:LED-3MM",""
"R8","1M","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"C2","100u","Capacitors_Elko_ThroughHole:Elko_vert_11.2x6.3mm_RM2.5_CopperClear",""
"P3","CONN_01X02","fdsp_pinheader:Pin_Header_Straight_1x02",""
"Q3","2N7002","digikey-footprints:SOT-23-3","https://www.fairchildsemi.com/datasheets/2N/2N7000.pdf","Discrete Semiconductor Products","https://www.fairchildsemi.com/datasheets/2N/2N7000.pdf","/product-detail/en/on-semiconductor/2N7002/2N7002NCT-ND/244664","MOSFET N-CH 60V 115MA SOT-23","2N7002NCT-ND","Transistors - FETs, MOSFETs - Single","2N7002","ON Semiconductor","Active"
"Q4","2N7002","digikey-footprints:SOT-23-3","https://www.fairchildsemi.com/datasheets/2N/2N7000.pdf","Discrete Semiconductor Products","https://www.fairchildsemi.com/datasheets/2N/2N7000.pdf","/product-detail/en/on-semiconductor/2N7002/2N7002NCT-ND/244664","MOSFET N-CH 60V 115MA SOT-23","2N7002NCT-ND","Transistors - FETs, MOSFETs - Single","2N7002","ON Semiconductor","Active"
"R14","1M","Resistors_SMD:R_0805_HandSoldering",""
"R15","10k","Resistors_SMD:R_0805_HandSoldering",""
"R12","10k","Resistors_SMD:R_0805_HandSoldering",""
"R10","49R9","Resistors_SMD:R_0805_HandSoldering",""
"R11","470R","Resistors_SMD:R_0805_HandSoldering",""
"R13","470R","Resistors_SMD:R_0805_HandSoldering",""
"R16","470R","Resistors_SMD:R_0805_HandSoldering",""
"R17","470R","Resistors_SMD:R_0805_HandSoldering",""
"R18","470R","Resistors_SMD:R_0805_HandSoldering",""
